

"Musterdepot: 'Komplett'"
"Montag, 27.04.2020, 17:21 Uhr"

"Stück";"Bezeichnung";"WKN";"Typ";"Aktuell";"Whg.";"Diff. 1 Tag Abs.";"Diff. 1 Tag Rel.";"Wert in EUR";"Diff. seit Kauf Abs.";"Diff. seit Kauf Rel.";"Zeit";"Datum";"Börse";"Kaufkurs in EUR";"Kaufdatum";"Kaufwert in EUR";"Limit +";"Limit -";"Perf. 3 Monate";"Perf. 1 Jahr";"Perf. 3 Jahre";
"140";"WisdomTree Brent Crude Oil 1mth - EUR ACC";"A0KRKM";"Zertifikat";"9,592";"EUR";"-1,00";"-9,41%";"1.342,88";"-1.686,24";"-55,67%";"17:21:00";"27.04.20";"LT Lang &#38; Schwarz";"21,64";"24.09.19";"3.029,12";"18,00";"9,70";"-61,32%";"-62,41%";"-47,90%";
"150";"LBBW Dividenden Strategie Euroland - R EUR DIS";"978041";"Fonds";"29,702";"EUR";"0,57";"+1,96%";"4.455,30";"-1.544,70";"-25,75%";"17:00:07";"27.04.20";"Stuttgart";"40,00";"24.09.19";"6.000,00";"50,00";"28,00";"-36,33%";"-34,27%";"-37,61%";
"40";"Amundi Index Solutions NASDAQ 100 UCITS ETF - EUR ACC";"A2H577";"Fonds";"90,38";"EUR";"0,35";"+0,39%";"3.615,20";"841,24";"+30,33%";"17:00:56";"27.04.20";"Stuttgart";"69,35";"24.09.19";"2.773,96";"100,00";"75,00";"-1,98%";"+17,07%";"+63,57%";
"250";"Société Générale Effekten GmbH DAX Indexzert.(2010/unlim.)";"702979";"Zertifikat";"105,85";"EUR";"1,47";"+1,41%";"26.462,50";"1.462,50";"+5,85%";"17:21:20";"27.04.20";"LT Societe Generale";"100,00";"24.09.19";"25.000,00";"--";"95,50";"-22,65%";"-15,10%";"-16,25%";
"540";"Fidelity Funds - Nordic Fund - A SEK DIS";"973277";"Fonds";"94,575";"EUR";"2,26";"+2,45%";"51.070,50";"-13.729,50";"-21,19%";"17:00:56";"27.04.20";"Stuttgart";"120,00";"24.09.19";"64.800,00";"140,00";"88,00";"-29,70%";"-27,88%";"-30,80%";
"130";"Lyxor 1 TecDAX UCITS ETF - I EUR DIS";"ETF908";"Fonds";"22,985";"EUR";"0,14";"+0,61%";"2.988,05";"-118,69";"-3,82%";"17:06:59";"27.04.20";"Stuttgart";"23,90";"24.09.19";"3.106,74";"25,50";"22,00";"-9,65%";"-0,98%";"+35,10%";
"60";"SAP SE Inhaber-Aktien o.N.";"716460";"Aktie";"107,64";"EUR";"0,18";"+0,17%";"6.458,40";"458,40";"+7,64%";"17:21:21";"27.04.20";"LT Lang &#38; Schwarz";"100,00";"24.09.19";"6.000,00";"130,00";"120,00";"-14,16%";"-5,99%";"+16,77%";
"25";"DWS Aktien Strategie Deutschland - LC EUR ACC";"976986";"Fonds";"343,325";"EUR";"10,19";"+3,06%";"8.583,12";"1.083,12";"+14,44%";"17:21:11";"27.04.20";"LT Lang &#38; Schwarz";"300,00";"24.09.19";"7.500,00";"400,00";"320,00";"-26,33%";"-18,48%";"-14,64%";
"50";"OEkoworld Klima - C EUR ACC";"A0MX8G";"Fonds";"82,05";"EUR";"1,43";"+1,77%";"4.102,50";"253,00";"+6,57%";"17:00:47";"27.04.20";"Stuttgart";"76,99";"24.09.19";"3.849,50";"100,00";"75,00";"-5,55%";"+7,57%";"+35,11%";
"2200";"iShares TecDAX(DE)UCITS ETF - EUR ACC";"593397";"Fonds";"26,70";"EUR";"0,09";"+0,34%";"58.740,00";"3.740,00";"+6,80%";"17:21:15";"27.04.20";"LT Lang &#38; Schwarz";"25,00";"24.09.19";"55.000,00";"28,00";"24,00";"-8,15%";"+0,48%";"+38,62%";
