

"Musterdepot: 'Komplett'"
"Dienstag, 19.11.2019, 09:57 Uhr"

"Stück";"Bezeichnung";"WKN";"Typ";"Aktuell";"Whg.";"Diff. 1 Tag Abs.";"Diff. 1 Tag Rel.";"Wert in EUR";"Diff. seit Kauf Abs.";"Diff. seit Kauf Rel.";"Zeit";"Datum";"Börse";"Kaufkurs in EUR";"Kaufdatum";"Kaufwert in EUR";"Limit +";"Limit -";"Perf. 3 Monate";"Perf. 1 Jahr";"Perf. 3 Jahre";
"40";"Amundi Index Solutions NASDAQ 100 UCITS ETF - EUR ACC";"A2H577";"Fonds";"83,44";"EUR";"0,50";"+0,60%";"3.337,60";"563,64";"+20,32%";"09:57:09";"19.11.19";"LT Lang &#38; Schwarz";"69,35";"24.09.19";"2.773,96";"82,00";"75,00";"+9,72%";"+26,01%";"--";
"100";"Fidelity Funds - European Growth Fund - A EUR DIS";"973270";"Fonds";"16,34";"EUR";"0,19";"+1,18%";"29.412,00";"1.944,00";"+7,08%";"09:56:23";"19.11.19";"LT Lang &#38; Schwarz";"15,26";"24.09.19";"27.468,00";"16,00";"15,00";"+9,27%";"+11,30%";"+19,63%";
"50";"Fidelity Funds - Global Technology Fund - Y EUR DIS";"A1W4TN";"Fonds";"34,25";"EUR";"-0,10";"-0,29%";"14.556,25";"6.580,50";"+82,51%";"08:00:00";"18.11.19";"Fondsgesellschaft";"18,77";"24.09.19";"7.975,75";"--";"--";"+17,48%";"+33,18%";"+82,82%";
"50";"Fidelity Funds - Nordic Fund - A SEK DIS";"973277";"Fonds";"126,52";"EUR";"0,35";"+0,28%";"68.320,80";"3.520,80";"+5,43%";"10:26:00";"08.11.19";"LT Commerzbank";"120,00";"24.09.19";"64.800,00";"130,00";"117,00";"+9,22%";"+3,57%";"+17,56%";
"220";"iShares TecDAX(DE)UCITS ETF - EUR ACC";"593397";"Fonds";"27,63";"EUR";"0,18";"+0,67%";"60.786,00";"5.786,00";"+10,52%";"09:57:06";"19.11.19";"LT Lang &#38; Schwarz";"25,00";"24.09.19";"55.000,00";"28,00";"24,00";"+11,09%";"+16,30%";"+70,81%";
"50";"OEkoworld Klima - C EUR ACC";"A0MX8G";"Fonds";"79,58";"EUR";"0,50";"+0,63%";"3.979,00";"129,50";"+3,36%";"09:53:19";"19.11.19";"Stuttgart";"76,99";"24.09.19";"3.849,50";"82,00";"70,00";"+2,49%";"+22,35%";"+50,86%";
"20";"OEkoWorld OEkoVision Classic - C EUR ACC";"974968";"Fonds";"190,34";"EUR";"0,90";"+0,48%";"3.806,80";"106,80";"+2,89%";"09:56:29";"19.11.19";"LT Lang &#38; Schwarz";"185,00";"24.09.19";"3.700,00";"200,00";"180,00";"+2,77%";"+12,79%";"+28,64%";
"60";"SAP SE Inhaber-Aktien o.N.";"716460";"Aktie";"123,08";"EUR";"1,00";"+0,82%";"7.384,80";"1.384,80";"+23,08%";"09:57:08";"19.11.19";"LT Lang &#38; Schwarz";"100,00";"24.09.19";"6.000,00";"125,00";"115,00";"+13,29%";"+32,84%";"+55,97%";
"150";"Xtrackers MSCI World Minimum Volatility UCITS ETF - 1C USD ACC";"A1103F";"Fonds";"31,22";"EUR";"0,12";"+0,37%";"4.683,00";"48,00";"+1,04%";"09:57:09";"19.11.19";"LT Lang &#38; Schwarz";"30,90";"25.09.19";"4.635,00";"--";"--";"+3,70%";"+20,36%";"+36,13%";
"100";"Xtrackers MSCI World Momentum UCITS ETF - 1C USD ACC";"A1103G";"Fonds";"33,79";"EUR";"0,16";"+0,48%";"3.379,00";"60,00";"+1,81%";"09:56:39";"19.11.19";"LT Lang &#38; Schwarz";"33,19";"25.09.19";"3.319,00";"--";"--";"+4,85%";"+19,52%";"+55,88%";

